date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:32:55	686/686	UR-M--	416	error ('Requested%20range%20not%20satisfiable')	text/html	date:Sun,%2031%20Mar%202019%2022:02:55%20GMT	http://thesharthee.com/tf/mackien-preview/assets/js/vendor/jquery-2.2.4.min.js	/home/shashwat/websites4/Portfolio4/thesharthee.com/tf/mackien-preview/assets/js/vendor/jquery-2.2.4.min.js	(from http://thesharthee.com/tf/mackien-preview/)
03:32:56	686/686	UR-M--	416	error ('Requested%20range%20not%20satisfiable')	text/html	date:Sun,%2031%20Mar%202019%2022:02:55%20GMT	http://thesharthee.com/tf/mackien-preview/assets/js/bootstrap.min.js	/home/shashwat/websites4/Portfolio4/thesharthee.com/tf/mackien-preview/assets/js/bootstrap.min.js	(from http://thesharthee.com/tf/mackien-preview/)
03:32:56	686/686	UR-M--	416	error ('Requested%20range%20not%20satisfiable')	text/html	date:Sun,%2031%20Mar%202019%2022:02:55%20GMT	http://thesharthee.com/tf/mackien-preview/assets/js/owl.carousel.min.js	/home/shashwat/websites4/Portfolio4/thesharthee.com/tf/mackien-preview/assets/js/owl.carousel.min.js	(from http://thesharthee.com/tf/mackien-preview/)
03:32:56	686/686	UR-M--	416	error ('Requested%20range%20not%20satisfiable')	text/html	date:Sun,%2031%20Mar%202019%2022:02:56%20GMT	http://thesharthee.com/tf/mackien-preview/assets/js/imagesloaded.pkgd.min.js	/home/shashwat/websites4/Portfolio4/thesharthee.com/tf/mackien-preview/assets/js/imagesloaded.pkgd.min.js	(from http://thesharthee.com/tf/mackien-preview/)
03:32:57	17496/17496	---M--	200	added ('OK')	text/html	etag:%224458-5b5d3b9a-e5a5ea11a3d36cc2;;;%22	http://thesharthee.com/tf/mackien-preview/index.html	/home/shashwat/websites4/Portfolio4/thesharthee.com/tf/mackien-preview/index-2.html	(from http://thesharthee.com/tf/mackien-preview/)
03:32:58	686/686	UR-M--	416	error ('Requested%20range%20not%20satisfiable')	text/html	date:Sun,%2031%20Mar%202019%2022:02:57%20GMT	http://thesharthee.com/tf/mackien-preview/assets/js/isotope.pkgd.min.js	/home/shashwat/websites4/Portfolio4/thesharthee.com/tf/mackien-preview/assets/js/isotope.pkgd.min.js	(from http://thesharthee.com/tf/mackien-preview/)
03:32:59	686/686	UR-M--	416	error ('Requested%20range%20not%20satisfiable')	text/html	date:Sun,%2031%20Mar%202019%2022:02:58%20GMT	http://thesharthee.com/tf/mackien-preview/assets/js/jquery.slicknav.min.js	/home/shashwat/websites4/Portfolio4/thesharthee.com/tf/mackien-preview/assets/js/jquery.slicknav.min.js	(from http://thesharthee.com/tf/mackien-preview/)
03:32:59	686/686	UR-M--	416	error ('Requested%20range%20not%20satisfiable')	text/html	date:Sun,%2031%20Mar%202019%2022:02:58%20GMT	http://thesharthee.com/tf/mackien-preview/assets/js/jquery.magnific-popup.min.js	/home/shashwat/websites4/Portfolio4/thesharthee.com/tf/mackien-preview/assets/js/jquery.magnific-popup.min.js	(from http://thesharthee.com/tf/mackien-preview/)
03:32:59	1148/1148	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2031%20Mar%202019%2022:02:59%20GMT	http://thesharthee.com/tf/mackien-preview/blog.html	/home/shashwat/websites4/Portfolio4/thesharthee.com/tf/mackien-preview/blog.html	(from http://thesharthee.com/tf/mackien-preview/)
03:33:00	686/686	UR-M--	416	error ('Requested%20range%20not%20satisfiable')	text/html	date:Sun,%2031%20Mar%202019%2022:02:59%20GMT	http://thesharthee.com/tf/mackien-preview/assets/js/counterup.min.js	/home/shashwat/websites4/Portfolio4/thesharthee.com/tf/mackien-preview/assets/js/counterup.min.js	(from http://thesharthee.com/tf/mackien-preview/)
03:33:02	152796/152796	---M--	200	added ('OK')	font/ttf	etag:%22254dc-579b64fe-65438a9b70c9bb8c;;;%22	http://thesharthee.com/tf/mackien-preview/assets/fonts/fontawesome-webfont.ttf?v=4.6.3	/home/shashwat/websites4/Portfolio4/thesharthee.com/tf/mackien-preview/assets/fonts/fontawesome-webfont5b62.ttf	(from http://thesharthee.com/tf/mackien-preview/assets/css/font-awesome.min.css)
03:33:04	22280/22280	---M--	200	added ('OK')	image/jpeg	etag:%225708-5b0063f4-45fccda4eec66547;;;%22	http://thesharthee.com/tf/mackien-preview/assets/images/portfolio/img7.jpg	/home/shashwat/websites4/Portfolio4/thesharthee.com/tf/mackien-preview/assets/images/portfolio/img7.jpg	(from http://thesharthee.com/tf/mackien-preview/)
03:33:07	391622/391622	---M-Z	200	added ('OK')	image/svg+xml	etag:%225f9c6-579b64fe-519e8fcd53e7d1fa;gz%22	http://thesharthee.com/tf/mackien-preview/assets/fonts/fontawesome-webfont.svg?v=4.6.3	/home/shashwat/websites4/Portfolio4/thesharthee.com/tf/mackien-preview/assets/fonts/fontawesome-webfont5b62.svg	(from http://thesharthee.com/tf/mackien-preview/assets/css/font-awesome.min.css)
03:33:09	35083/35083	---M--	200	added ('OK')	image/jpeg	etag:%22890b-5b0063f2-fe66d3d584cdbf64;;;%22	http://thesharthee.com/tf/mackien-preview/assets/images/portfolio/img4.jpg	/home/shashwat/websites4/Portfolio4/thesharthee.com/tf/mackien-preview/assets/images/portfolio/img4.jpg	(from http://thesharthee.com/tf/mackien-preview/)
03:33:15	236945/236945	---M--	200	added ('OK')	image/jpeg	etag:%2239d91-5b0063aa-927aeab55c498cb0;;;%22	http://thesharthee.com/tf/mackien-preview/assets/images/bg/fact-bg.jpg	/home/shashwat/websites4/Portfolio4/thesharthee.com/tf/mackien-preview/assets/images/bg/fact-bg.jpg	(from http://thesharthee.com/tf/mackien-preview/assets/css/styles.css)
